Experiment Name,Final Training Reward,Final Training Format Reward,Final Training Answer Reward,Final Validation Reward,Final Validation Format Reward,Final Validation Answer Reward,Max Training Reward,Max Validation Reward,Training Steps,Validation Count
onpolicy_256_1_256,0.80078125,0.875,0.80078125,0.7119029567854435,0.9818043972706596,0.7119029567854435,0.921875,0.7338893100833965,100,11
grpo_offpolicy_256_2_512,0.81640625,0.99609375,0.81640625,0.7414708112206216,0.9886277482941622,0.7414708112206216,0.94140625,0.7558756633813495,50,5
grpo_offpolicy_256_2_128,0.0,0.0,0.0,0.0,0.0,0.0,0.8359375,0.5936315390447309,84,2
