step,train_reward,train_format_reward,train_answer_reward,train_loss,gradient_norm,token_entropy,clip_fraction,learning_rate
0,0.02734375,0.1875,0.02734375,-0.0015886278488324024,0.12420761945559351,1.742431640625,0.0,1.0000000000000002e-06
1,0.01953125,0.17578125,0.01953125,-0.0012079952721251175,0.09590528703279616,1.73681640625,0.0,1.9000000000000002e-06
2,0.05078125,0.24609375,0.05078125,-0.003655220025393646,0.1893325209846657,1.76904296875,0.0,2.8000000000000003e-06
3,0.03125,0.2578125,0.03125,-0.0014009835076649324,0.15354702840567433,1.7412109375,0.0,3.7e-06
4,0.0546875,0.24609375,0.0546875,-0.003199317681719549,0.19650636281600514,1.819580078125,0.0,4.6e-06
5,0.0546875,0.2265625,0.0546875,-0.0029661090957233682,0.18698317600079314,1.767333984375,0.0,5.5e-06
6,0.04296875,0.2109375,0.04296875,-0.0025616741440899204,0.13509988308037021,1.74951171875,0.0,6.4e-06
7,0.0625,0.28125,0.0625,-0.0024387855919485446,0.19728251292793728,1.76904296875,0.0,7.2999999999999996e-06
8,0.03515625,0.26953125,0.03515625,-0.0016881861520232633,0.18879944636068705,1.802734375,0.0,8.200000000000001e-06
9,0.04296875,0.3046875,0.04296875,-0.0012576699809869751,0.1475152598051355,1.72216796875,0.0,9.100000000000001e-06
10,0.06640625,0.33203125,0.06640625,-0.0022189375340531114,0.26071152388243085,1.769775390625,0.0,1e-05
11,0.06640625,0.30859375,0.06640625,-0.0039053632608556654,0.16597749460663994,1.74072265625,0.0,9.999384872466112e-06
12,0.0859375,0.37109375,0.0859375,-0.004090650407306384,0.2799473740173255,1.753173828125,0.0,9.997539658034168e-06
13,0.09765625,0.3671875,0.09765625,-0.0024658289930812316,0.35795111227060683,1.748291015625,0.0,9.994464861167373e-06
14,0.125,0.3828125,0.125,-0.003668483210276463,0.32216428531462277,1.735595703125,0.0,9.990161322484486e-06
15,0.109375,0.47265625,0.109375,-0.002878188155591488,0.476759350358715,1.7138671875,0.0,9.984630218530016e-06
16,0.16015625,0.4375,0.16015625,-0.0035908803620259278,0.6031279323383689,1.685791015625,0.0,9.977873061452553e-06
17,0.27734375,0.55078125,0.27734375,-0.006274809486058075,0.9993238961365776,1.683349609375,0.0,9.969891698591373e-06
18,0.2109375,0.5546875,0.2109375,-0.004796838561787808,1.0013257075187751,1.653076171875,0.0,9.960688311971389e-06
19,0.3125,0.6328125,0.3125,-0.00793880843957595,1.0043401149594609,1.621826171875,0.0,9.95026541770661e-06
20,0.3359375,0.6484375,0.3359375,-0.0032050902804030557,1.0039398647573026,1.584716796875,0.0,9.938625865312252e-06
21,0.3515625,0.6640625,0.3515625,-0.004883641592186905,0.9980727100678002,1.59521484375,0.0,9.92577283692572e-06
22,0.3359375,0.73046875,0.3359375,-0.006204032326422748,0.9966859812006957,1.61669921875,0.0,9.911709846436643e-06
23,0.3671875,0.69921875,0.3671875,-0.003927834536625596,1.0007399627829698,1.580078125,0.0,9.896440738526197e-06
