step,train_reward,train_format_reward,train_answer_reward,train_loss,gradient_norm,token_entropy,clip_fraction,learning_rate
0,0.02734375,0.21875,0.02734375,-0.0014892948747728951,0.11579255008850861,1.783935546875,0.0,4.000000000000001e-06
1,0.1015625,0.34375,0.1015625,-0.0030760433455725433,0.2765484701217158,1.686767578125,0.0,8.000000000000001e-06
2,0.06640625,0.30078125,0.06640625,-0.00281381752120069,0.25988795256781483,1.69970703125,0.0,1.2e-05
3,0.09765625,0.34375,0.09765625,-0.004368978065031115,0.26986911118400064,1.6982421875,0.0,1.6000000000000003e-05
4,0.14453125,0.359375,0.14453125,-0.004429436276041088,0.3325622906335261,1.658203125,0.0,2e-05
5,0.1953125,0.41796875,0.1953125,-0.005474633457879463,0.4705188627136291,1.615234375,0.0,1.9995079316068335e-05
6,0.3359375,0.5703125,0.3359375,-0.002546911176523281,0.7682955433810729,1.564697265625,0.0,1.998032264496897e-05
7,0.44140625,0.61328125,0.44140625,-0.0035516452837214274,1.0015179990968965,1.5302734375,0.0,1.9955746122905106e-05
8,0.51953125,0.7890625,0.51953125,-0.002615351614622341,1.0006551324582764,1.5712890625,0.0,1.9921376623942778e-05
9,0.48828125,0.84765625,0.48828125,-0.0016597778903815197,1.0024241229224207,1.591796875,0.0,1.9877251730624504e-05
10,0.6015625,0.80859375,0.6015625,-0.003848382016258256,1.0019120597352418,1.568359375,0.0,1.9823419692873286e-05
11,0.65625,0.86328125,0.65625,-0.0019373628431367251,0.9977449615239896,1.5888671875,0.0,1.9759939375232055e-05
12,0.68359375,0.9296875,0.68359375,-0.002393269948015586,1.0043230343410416,1.611083984375,0.0,1.968688019249614e-05
13,0.68359375,0.93359375,0.68359375,-0.004021259876139993,1.0020956244419603,1.5323486328125,0.0,1.960432203380922e-05
14,0.65625,0.91796875,0.65625,-0.0020068562032520276,1.0013116008842997,1.623046875,0.0,1.9512355175305713e-05
15,0.70703125,0.9453125,0.70703125,-0.003109991169822024,1.0043044360798745,1.3037109375,0.0,1.9411080181395148e-05
16,0.6328125,0.94921875,0.6328125,-0.0019090975672497734,0.9967502423849738,1.583251953125,0.0,1.9300607794796465e-05
17,0.7734375,0.95703125,0.7734375,-0.0005191787226976885,1.0041661314807426,0.9830322265625,0.0,1.9181058815442464e-05
18,0.515625,0.96875,0.515625,-0.001575028803472378,1.0019498710720982,1.59130859375,0.0,1.9052563968386873e-05
19,0.70703125,0.9609375,0.70703125,-0.004492512902288581,0.9994711116953504,1.614990234375,0.0,1.89152637608584e-05
20,0.78125,0.99609375,0.78125,-0.004909617921839526,1.0004126945130978,1.19189453125,0.0,1.8769308328618167e-05
21,0.66015625,0.9453125,0.66015625,-0.0017687345177819225,1.003471824810894,1.6083984375,0.0,1.861485727178842e-05
22,0.69921875,0.96875,0.69921875,-0.0025866505166050047,1.0019777676556758,1.406005859375,0.0,1.8452079480332183e-05
23,0.74609375,0.9765625,0.74609375,-0.002152242563170148,0.9967430437482603,1.072509765625,0.0,1.828115294937453e-05
24,0.703125,0.98046875,0.703125,-0.0016357730828531203,1.0006344403898346,1.2236328125,0.0,1.8102264584567543e-05
