step,train_reward,train_format_reward,train_answer_reward,train_loss,gradient_norm,token_entropy,clip_fraction,learning_rate
1,0.0390625,0.21875,0.0390625,0.00020752370505761064,0.05005658611853342,1.776611328125,0.0,1e-05
2,0.03125,0.22265625,0.03125,0.00011132147255921154,0.04634542524175345,1.7275390625,0.0,2e-05
3,0.1328125,0.36328125,0.1328125,0.0004146016911619199,0.18941846652979244,1.68505859375,0.0,3e-05
4,0.27734375,0.62890625,0.27734375,0.0003008469754206544,0.37324653329480084,1.59521484375,0.0,4e-05
5,0.61328125,0.87890625,0.61328125,0.00010132438234222718,0.5188969152784523,1.601318359375,0.0,5e-05
6,0.69140625,0.9765625,0.69140625,-0.0002969865505804137,0.9988179049354633,1.16455078125,0.057809330628803245,4.998769829017084e-05
7,0.68359375,0.98046875,0.68359375,-0.0001407977140956973,1.0016589584314195,1.1925048828125,0.0,4.995080661242243e-05
8,0.6484375,0.9765625,0.6484375,5.573964368466022e-05,0.9976207131996634,1.650146484375,0.0,4.988936530726276e-05
9,0.56640625,0.9921875,0.56640625,2.1996143431124437e-05,1.00242617028708,1.21685791015625,0.0,4.980344155985695e-05
10,0.5546875,0.984375,0.5546875,-0.00023765392401742247,1.0049411893964422,1.6517333984375,0.0,4.9693129326561254e-05
11,0.7109375,0.98046875,0.7109375,-0.00028115505444503697,1.000898715670524,1.1475830078125,0.0,4.9558549232183214e-05
12,0.62890625,0.953125,0.62890625,-0.0004087048997689635,0.9962976069595325,1.5509033203125,0.0,4.939984843808013e-05
13,0.60546875,0.921875,0.60546875,-6.713456309626054e-05,0.9989514817335936,1.4625244140625,0.0,4.9217200481240346e-05
14,0.63671875,0.90234375,0.63671875,-5.905641393155747e-05,1.001990297520905,1.7056884765625,0.0,4.901080508452305e-05
15,0.7109375,0.953125,0.7109375,-0.00018605584506303785,1.001203092640841,1.172119140625,0.06481481481481481,4.878088793826428e-05
16,0.8046875,0.9765625,0.8046875,-7.763974275576402e-05,0.9974203288695739,1.6636962890625,0.0,4.8527700453487873e-05
17,0.734375,0.96875,0.734375,-3.9127535728766816e-05,0.9953766628148863,1.270263671875,0.0,4.825151948699116e-05
18,0.875,0.984375,0.875,-0.0001475549391898312,0.9968692005465932,1.54150390625,0.0,4.795264703860616e-05
19,0.60546875,0.96484375,0.60546875,-0.00034688207193767084,1.0003688015923897,1.1898193359375,0.0,4.763140992096718e-05
20,0.76171875,0.9609375,0.76171875,-0.0004097603534845007,1.0037281419016215,1.475341796875,0.0,4.7288159402146e-05
21,0.83203125,0.9765625,0.83203125,-0.0002571650142044746,0.9981212574370214,1.32196044921875,0.0,4.692327082154542e-05
22,0.79296875,0.9765625,0.79296875,-0.00029409150271675344,1.0011494712678828,1.3011474609375,0.0,4.6537143179471045e-05
23,0.73046875,0.9609375,0.73046875,-8.244061859841167e-05,1.0020295216230644,1.3643798828125,0.0,4.6130198700830455e-05
24,0.76953125,0.94140625,0.76953125,0.00012196716784274031,0.9995413854606763,1.4029541015625,0.0,4.570288237343632e-05
25,0.69140625,0.88671875,0.69140625,0.0001672303785582585,0.9982826901768717,1.5303955078125,0.0,4.525566146141886e-05
26,0.609375,0.859375,0.609375,0.00024221079667086087,0.9957574968707597,1.6263427734375,0.0,4.478902499427933e-05
27,0.5546875,0.81640625,0.5546875,0.00026015632073495,0.9973462354188303,1.622802734375,0.0,4.430348323214347e-05
28,0.484375,0.83984375,0.484375,5.3577602272980585e-05,0.9962468442885092,1.34283447265625,0.0,4.379956710779951e-05
29,0.56640625,0.85546875,0.56640625,0.00019938091080007325,1.000892900334864,1.6187744140625,0.0,4.327782764613099e-05
30,0.57421875,0.83203125,0.57421875,-2.1347172328489705e-05,0.9978765786896305,1.6146240234375,0.0,4.273883536157918e-05
31,0.5703125,0.8125,0.5703125,0.00047929017625847337,0.9990797588445332,1.63916015625,0.0,4.2183179634293794e-05
32,0.66796875,0.90234375,0.66796875,0.0004356987767692999,1.0020776769309143,1.669677734375,0.0,4.1611468065654586e-05
33,0.640625,0.8125,0.640625,0.0005042095487652887,1.0027204704969,1.7496337890625,0.0,4.1024325813868065e-05
34,0.73828125,0.9140625,0.73828125,0.00021843798867848818,0.9982057090370468,2.4580078125,0.0,4.0422394910366236e-05
35,0.734375,0.9375,0.734375,0.00013547005255531985,0.9951229135087949,5.626953125,0.0,3.980633355775461e-05
36,0.8515625,0.96484375,0.8515625,0.00016722969695592838,0.9973816706928627,5.006591796875,0.0,3.917681541007734e-05
37,0.7578125,0.94140625,0.7578125,8.174985870823548e-05,1.0027824749547554,7.05419921875,0.0,3.853452883618644e-05
38,0.86328125,0.96875,0.86328125,0.0001462943635530678,0.9984759160081198,4.846923828125,0.0,3.788017616702048e-05
39,0.734375,0.92578125,0.734375,-6.50813524316618e-06,1.0044252503281323,4.0078125,0.0,3.721447292761609e-05
40,0.8515625,0.95703125,0.8515625,7.524199122599384e-05,1.0015245147636764,2.657470703125,0.0,3.6538147054691817e-05
41,0.8203125,0.98828125,0.8203125,-6.060314717615256e-06,1.0002453188685234,1.8912353515625,0.0,3.5851938100659964e-05
42,0.87109375,0.984375,0.87109375,-0.0001020696239066865,0.9979845227944169,0.75506591796875,0.0,3.515659642493697e-05
43,0.91015625,0.984375,0.91015625,0.0001355818459103375,1.0015313436407762,0.8507080078125,0.0,3.445288237343632e-05
44,0.796875,0.98828125,0.796875,0.00013061667914371355,0.997375120623116,0.595703125,0.0,3.37415654471415e-05
45,0.84765625,0.9921875,0.84765625,-0.00031738169106176883,0.9983229783726102,0.66107177734375,0.48326771653543305,3.3023423460667985e-05
46,0.81640625,0.97265625,0.81640625,0.00010795878903735456,1.000202002448732,0.62042236328125,0.0,3.229924169173431e-05
47,0.8203125,1.0,0.8203125,-0.017850025637144995,0.998959268543164,0.61761474609375,0.4319744597249509,3.156981202247248e-05
48,0.90625,0.9921875,0.90625,6.9861592351117e-05,1.0030515573358034,0.65020751953125,0.0,3.0835932073516444e-05
49,0.75390625,0.98046875,0.75390625,8.473909500139598e-05,1.0011840308092406,0.527191162109375,0.0,3.0098404331815695e-05
50,0.890625,0.98828125,0.890625,2.924904691781194e-06,1.001995842209856,0.6612548828125,0.0,2.9358035273127483e-05
51,0.84765625,0.98828125,0.84765625,1.6811629933499717e-05,1.0019959265521075,0.628173828125,0.0,2.86156344801475e-05
52,0.875,0.98828125,0.875,-0.004578221925143566,1.0042675780287587,0.568115234375,0.19806163021868786,2.787201375724307e-05
53,0.8125,0.984375,0.8125,7.506428708836665e-05,0.9984227193509965,0.69305419921875,0.0,2.7127986242756936e-05
54,0.87109375,0.99609375,0.87109375,-0.004986229497461636,0.997024842469092,0.594970703125,0.3028169014084507,2.6384365519852497e-05
55,0.8515625,0.99609375,0.8515625,8.52122456080906e-05,0.9999837839752095,0.492706298828125,0.0,2.5641964726872526e-05
