step,train_reward,train_format_reward,train_answer_reward,train_loss,gradient_norm,token_entropy,clip_fraction,learning_rate
55,0.78125,0.91015625,0.78125,-0.012444783387763891,1.00001405423419,1.4105224609375,0.0,2.4901595668184314e-05
56,0.7109375,0.85546875,0.7109375,-0.016532337685930543,0.9963469425564149,1.3751220703125,0.0,2.4164067926483555e-05
57,0.7109375,0.8515625,0.7109375,-0.01041265594176366,0.9970287224470042,1.3304443359375,0.0,2.3430187977527533e-05
58,0.8046875,0.91015625,0.8046875,-0.003476551515632309,0.9981545356384629,1.365478515625,0.0,2.27007583082657e-05
59,0.80078125,0.93359375,0.80078125,-0.020612383654224686,1.0004800679361356,1.4068603515625,0.0,2.197657653933202e-05
60,0.71484375,0.8828125,0.71484375,-0.012885823038232047,1.0011853138465048,1.32373046875,0.0,2.1258434552858502e-05
61,0.72265625,0.88671875,0.72265625,-0.026950855390168726,1.0018642115006793,1.3299560546875,0.0,2.0547117626563686e-05
62,0.7421875,0.8515625,0.7421875,-0.013168291858164594,1.0004519044815914,1.2889404296875,0.0,1.9843403575063033e-05
63,0.73046875,0.86328125,0.73046875,-0.0008112702271318994,1.0007505064592763,1.3067626953125,0.0,1.914806189934003e-05
64,0.72265625,0.90625,0.72265625,-0.004595476959366351,0.9977969592437508,1.35498046875,0.0,1.8461852945308192e-05
65,0.76953125,0.85546875,0.76953125,0.00949858213425614,0.9969440222352203,1.2977294921875,0.0,1.7785527072383914e-05
66,0.78515625,0.87109375,0.78515625,-0.01406658286214224,1.0021630234130583,1.32159423828125,0.0,1.711982383297953e-05
67,0.81640625,0.9375,0.81640625,-0.01274635754089104,1.0023859929628425,1.4132080078125,0.0,1.6465471163813574e-05
68,0.7890625,0.9140625,0.7890625,-0.009279237274313346,0.9993919408245856,1.35577392578125,0.0,1.5823184589922667e-05
69,0.79296875,0.8671875,0.79296875,-0.00797878667981422,0.9980202973903827,1.323974609375,0.0,1.5193666442245399e-05
70,0.76171875,0.89453125,0.76171875,-0.006974810892643291,1.0026913710484364,1.35003662109375,0.0,1.457760508963377e-05
71,0.74609375,0.86328125,0.74609375,-0.0017877788086479995,0.9972605517154683,1.3067626953125,0.0,1.3975674186131937e-05
72,0.8125,0.90234375,0.8125,-0.007241155952215195,1.002442898516509,1.373046875,0.0,1.3388531934345419e-05
73,0.73828125,0.8359375,0.73828125,-0.007858998098527081,0.997826132432091,1.29180908203125,0.0,1.2816820365706204e-05
74,0.69140625,0.84375,0.69140625,-0.013173612818718539,1.0030521265531542,1.30377197265625,0.0,1.226116463842083e-05
75,0.65234375,0.84375,0.65234375,-0.00332003939547576,0.9989816632235841,1.31103515625,0.0,1.1722172353869008e-05
76,0.66796875,0.80859375,0.66796875,-0.008381762636417989,0.9981200463360717,1.26287841796875,0.0,1.12004328922005e-05
77,0.703125,0.8203125,0.703125,-0.012296871798753273,0.998074517468173,1.2698974609375,0.0,1.0696516767856545e-05
78,0.6875,0.828125,0.6875,-0.022384401403542142,1.0024275000579277,1.2957763671875,0.0,1.0210975005720677e-05
79,0.7890625,0.88671875,0.7890625,-0.008225849393056706,0.997552004034555,1.33984375,0.0,9.744338538581147e-06
80,0.63671875,0.80078125,0.63671875,-0.001758453046932118,1.0038074690187309,1.2257080078125,0.0,9.297117626563686e-06
81,0.734375,0.8671875,0.734375,-0.003727563605934847,1.0011096687308976,1.3111572265625,0.0,8.86980129916955e-06
82,0.8359375,0.90625,0.8359375,-0.0055626736393605825,1.002387487333941,1.351806640625,0.0,8.46285682052895e-06
83,0.74609375,0.8828125,0.74609375,0.0038805211224826053,1.0017986590984091,1.3408203125,0.0,8.076729178454588e-06
84,0.70703125,0.83203125,0.70703125,-0.004835946056118701,0.9974517781673757,1.276611328125,0.0,7.711840597853998e-06
85,0.5625,0.73046875,0.5625,-0.006596868766791886,0.9988661425271956,1.11590576171875,0.0,7.368590079032823e-06
86,0.69921875,0.83984375,0.69921875,-0.007614621339598671,0.9977477400687238,1.254150390625,0.0,7.047352961393844e-06
87,0.65625,0.79296875,0.65625,0.008819922262773616,1.0037669766926747,1.2147216796875,0.0,6.748480513008844e-06
88,0.72265625,0.82421875,0.72265625,-0.009571096750732977,1.000294534093428,1.25787353515625,0.0,6.472299546512134e-06
89,0.7578125,0.83203125,0.7578125,-0.019783888725214638,0.9977557624444263,1.26470947265625,0.0,6.219112061735721e-06
90,0.69140625,0.8671875,0.69140625,-0.006165204475109931,1.0028574946592894,1.3172607421875,0.0,5.989194915476954e-06
91,0.74609375,0.8671875,0.74609375,-0.01452338631497696,1.0027802554394338,1.2965087890625,0.0,5.782799518759657e-06
92,0.765625,0.90234375,0.765625,-0.014399852349015418,1.0017647639413267,1.383544921875,0.0,5.600151561919871e-06
93,0.765625,0.84375,0.765625,-0.007493838696973398,0.999454792869766,1.3096923828125,0.0,5.44145076781679e-06
94,0.80078125,0.8671875,0.80078125,-0.002613241238577757,1.00150695992807,1.3175048828125,0.0,5.3068706734387484e-06
95,0.6875,0.83984375,0.6875,-0.0090298607465229,1.0005151067145617,1.2802734375,0.0,5.196558440143058e-06
96,0.7109375,0.83203125,0.7109375,-0.003995743703853805,1.0041125986303197,1.261962890625,0.0,5.110634692737244e-06
97,0.81640625,0.9296875,0.81640625,-0.01216308877337724,1.0025438726774512,1.3985595703125,0.0,5.049193387577574e-06
98,0.71484375,0.8828125,0.71484375,-0.029091187485391856,1.000189975009594,1.3280029296875,0.0,5.012301709829164e-06
99,0.7890625,0.80078125,0.7890625,-0.0058395884225319605,0.9985485808286702,1.2503662109375,0.0,5e-06
