step,train_reward,train_format_reward,train_answer_reward,train_loss,gradient_norm,token_entropy,clip_fraction,learning_rate
1,0.76953125,0.97265625,0.76953125,0.0003324377111511012,0.07372090714036719,1.40380859375,0.0,1e-05
2,0.69921875,0.9765625,0.69921875,6.035013427663216e-05,0.06965720928092288,1.3223876953125,0.0,2e-05
3,0.66796875,0.9609375,0.66796875,0.00026169683603249894,0.06350701281308146,1.3267822265625,0.0,3e-05
4,0.65234375,0.98046875,0.65234375,-9.78115256629053e-05,0.05413712423899957,1.28240966796875,0.0,4e-05
5,0.74609375,0.98828125,0.74609375,6.003738063142805e-05,0.06461912031297637,1.3095703125,0.0,5e-05
6,0.84375,0.98828125,0.84375,0.0003448414926197074,0.06199376148926001,1.33343505859375,0.0,4.998769829017084e-05
7,0.81640625,0.9921875,0.81640625,0.000303278238106941,0.051203821344953306,1.32598876953125,0.0,4.995080661242243e-05
8,0.91796875,0.984375,0.91796875,0.0004329363412693965,0.059790421408121484,1.3076171875,0.0,4.988936530726276e-05
9,0.84375,0.9921875,0.84375,0.00034674989611716,0.06164620031010858,1.31842041015625,0.0,4.980344155985695e-05
10,0.765625,0.99609375,0.765625,0.00015861355103652386,0.044498341133004646,1.25982666015625,0.0,4.9693129326561254e-05
11,0.8984375,0.99609375,0.8984375,0.00027623811553212363,0.06474828611692358,1.29345703125,0.0,4.9558549232183214e-05
12,0.87890625,1.0,0.87890625,0.00041822112669365197,0.05058551686287066,1.31231689453125,0.0,4.939984843808013e-05
13,0.91796875,1.0,0.91796875,0.00036102407699445394,0.046818851288969794,1.3038330078125,0.0,4.9217200481240346e-05
14,0.91796875,0.99609375,0.91796875,0.0001844196373781415,0.04272332413500607,1.3253173828125,0.0,4.901080508452305e-05
15,0.90625,0.99609375,0.90625,0.0001718952806299967,0.04078633197893569,1.2874755859375,0.0,4.878088793826428e-05
16,0.9296875,1.0,0.9296875,0.00024971235262682967,0.04808938515942725,1.29193115234375,0.0,4.8527700453487873e-05
17,0.8515625,0.98828125,0.8515625,0.0002605830238735507,0.04320321893047191,1.26416015625,0.0,4.825151948699116e-05
18,0.95703125,0.98828125,0.95703125,0.00019145101379081098,0.0452852460176466,1.2786865234375,0.0,4.795264703860616e-05
19,0.81640625,0.984375,0.81640625,0.00033450291813608146,0.05355352853759673,1.24273681640625,0.0,4.763140992096718e-05
20,0.89453125,0.98828125,0.89453125,0.00018721313438163634,0.03691302440614629,1.280517578125,0.0,4.7288159402146e-05
21,0.9453125,1.0,0.9453125,0.00014742445773663349,0.04116817682498716,1.2159423828125,0.0,4.692327082154542e-05
22,0.9140625,1.0,0.9140625,0.0003260365249957431,0.04957954418700824,1.25714111328125,0.0,4.6537143179471045e-05
23,0.83984375,0.9921875,0.83984375,3.023219835540658e-05,0.031892525634884344,1.2373046875,0.0,4.6130198700830455e-05
24,0.9140625,1.0,0.9140625,0.00010938497268853098,0.04103236555973074,1.23602294921875,0.0,4.570288237343632e-05
25,0.88671875,0.9921875,0.88671875,0.00011144420688680157,0.0449529796121064,1.25799560546875,0.0,4.525566146141886e-05
26,0.828125,0.9921875,0.828125,0.00012455009769496428,0.02956010932392959,1.2208251953125,0.0,4.478902499427933e-05
27,0.9375,1.0,0.9375,3.0063506073929602e-05,0.02409436073924404,1.25018310546875,0.0,4.430348323214347e-05
28,0.86328125,0.9921875,0.86328125,0.0003766245661154244,0.04080206621746663,1.197265625,0.0,4.379956710779951e-05
29,0.95703125,1.0,0.95703125,0.00014141484598440002,0.02986473235076566,1.2496337890625,0.0,4.327782764613099e-05
30,0.85546875,0.99609375,0.85546875,-2.4582341964674015e-05,0.04048026209123989,1.23760986328125,0.0,4.273883536157918e-05
