step,train_reward,train_format_reward,train_answer_reward,train_loss,gradient_norm,token_entropy,clip_fraction,learning_rate
0,0.0234375,0.19140625,0.0234375,-0.001131959172198549,0.16038197038471225,1.822021484375,0.0,1e-05
1,0.2421875,0.49609375,0.2421875,-0.0029366823637246853,0.3493680241002833,1.5155029296875,0.0,2e-05
2,0.24609375,0.48828125,0.24609375,-0.0024674496253282996,0.3127931624964527,1.532470703125,0.0,3e-05
3,0.328125,0.609375,0.328125,-0.001822523256961972,0.4451704988504129,1.5098876953125,0.0,4e-05
4,0.53515625,0.76953125,0.53515625,-0.004600590047630249,1.0004019333125462,1.551513671875,0.0,5e-05
5,0.66796875,0.9296875,0.66796875,-0.002339864627174393,0.9996191351833809,1.2587890625,0.0,4.998769829017084e-05
6,0.6171875,0.95703125,0.6171875,-0.0033344048578101138,1.0001735596540413,1.394287109375,0.0,4.995080661242243e-05
7,0.515625,0.953125,0.515625,-0.0026487900267966324,0.9956102461922276,1.356689453125,0.0,4.988936530726276e-05
8,0.47265625,0.95703125,0.47265625,-0.0024048841915487174,1.0009899095719037,1.68994140625,0.0,4.980344155985695e-05
9,0.46875,0.9453125,0.46875,-0.0042249993994118995,0.9972070633256187,1.703857421875,0.0,4.9693129326561254e-05
10,0.5546875,0.96484375,0.5546875,-0.0035855280666510225,1.0008615503882197,1.66845703125,0.0,4.9558549232183214e-05
11,0.59765625,0.9765625,0.59765625,-0.002699384811762684,0.9967469509863081,1.606201171875,0.0,4.939984843808013e-05
12,0.5,0.97265625,0.5,-0.001050425307767,0.9996322370386664,1.52392578125,0.0,4.9217200481240346e-05
13,0.51171875,0.98828125,0.51171875,-0.004061170344357379,1.0013556573385505,1.140869140625,0.0,4.901080508452305e-05
14,0.4921875,0.97265625,0.4921875,0.00011140820333821466,0.9969493995593065,1.3740234375,0.0,4.878088793826428e-05
15,0.46875,0.96875,0.46875,-0.003104365059698466,0.9978254101808784,1.41796875,0.0,4.8527700453487873e-05
16,0.4453125,0.9765625,0.4453125,-0.0005576853327511344,0.9968591660987649,1.0902099609375,0.0,4.825151948699116e-05
17,0.55859375,0.9765625,0.55859375,-0.003904909572156612,0.9968816737575715,1.282470703125,0.0,4.795264703860616e-05
18,0.40234375,0.98828125,0.40234375,-0.0015500999697906082,1.0016958339871433,1.1119384765625,0.0,4.763140992096718e-05
19,0.4921875,0.984375,0.4921875,-0.00026169461398239946,0.9958424483987894,1.1922607421875,0.0,4.7288159402146e-05
20,0.578125,0.98046875,0.578125,-0.004339728471450144,1.0006451679280235,1.0078125,0.0,4.692327082154542e-05
21,0.44140625,0.9609375,0.44140625,-0.004262392900272971,1.001930348481895,0.998779296875,0.0,4.6537143179471045e-05
