step,train_reward,train_format_reward,train_answer_reward,train_loss,gradient_norm,token_entropy,clip_fraction,learning_rate
0,0.02734375,0.1953125,0.02734375,-0.0003594119152694475,0.05377702874692431,1.791259765625,0.0,5e-06
0,0.02734375,0.1953125,0.02734375,-0.0007096202134562191,0.13125522332297818,1.669677734375,0.0,5e-06
1,0.21875,0.5625,0.21875,-0.001299943147500926,0.3320552522125716,1.601318359375,0.0,1e-05
1,0.21875,0.5625,0.21875,-0.0013213615668519196,0.36283881649818556,1.59716796875,0.0,1e-05
2,0.29296875,0.703125,0.29296875,-0.001772987799540715,0.8560894324265633,1.621826171875,0.0,1.5e-05
2,0.29296875,0.703125,0.29296875,-0.001966108516910481,0.8753482372802998,1.617919921875,0.0,1.5e-05
3,0.3359375,0.7265625,0.3359375,-0.002234391791262169,0.8878161887806058,1.59912109375,0.0,2e-05
3,0.3359375,0.7265625,0.3359375,-0.0026051417969483737,1.003247669471575,1.596435546875,0.0,2e-05
4,0.421875,0.7109375,0.421875,-0.0013883383844586206,1.0050697162383326,1.583740234375,0.0,2.5e-05
4,0.421875,0.7109375,0.421875,-0.0020138248619332444,0.9980743694307019,1.582763671875,0.0,2.5e-05
5,0.484375,0.87890625,0.484375,-0.0018459037414686463,1.0037131186156651,1.632080078125,0.0,3e-05
5,0.484375,0.87890625,0.484375,-0.0028787726350856246,0.9992468331559893,1.630615234375,0.0,3e-05
6,0.49609375,0.9609375,0.49609375,-0.00087991420605249,1.0021656988310583,1.400634765625,0.0,3.5e-05
6,0.49609375,0.9609375,0.49609375,-0.0024448610265608295,1.0038039182895122,1.40869140625,0.0,3.5e-05
7,0.65625,0.9765625,0.65625,-0.0009657908908593527,0.9977529580672561,1.24365234375,0.0,4e-05
7,0.65625,0.9765625,0.65625,-0.0027812436874228297,1.0030466891965526,1.24755859375,0.0,4e-05
8,0.6015625,0.984375,0.6015625,0.0006587393709196476,0.9997245554079004,1.3253173828125,0.0,4.5e-05
8,0.6015625,0.984375,0.6015625,-0.0016065984732449579,1.0034328285256722,1.3197021484375,0.0,4.5e-05
9,0.60546875,0.9609375,0.60546875,-0.001109347233978042,0.9967325437923673,1.427001953125,0.0,5e-05
9,0.60546875,0.9609375,0.60546875,-0.0030217654020816553,1.0026621195667709,1.4267578125,0.0,5e-05
10,0.51953125,0.9453125,0.51953125,-0.001522251255323681,1.0018090473085484,1.552734375,0.0,4.9996924362330555e-05
10,0.51953125,0.9453125,0.51953125,-0.0034843518733396195,1.0003955749384363,1.552490234375,0.0,4.9996924362330555e-05
11,0.65234375,0.94140625,0.65234375,-0.0018397850853943964,0.9970623623904956,1.56982421875,0.0,4.998769829017084e-05
11,0.65234375,0.94140625,0.65234375,-0.004243973031407222,1.0031517958965603,1.58056640625,0.0,4.998769829017084e-05
